stateEstimate.x_x,stateEstimate.x_y,stateEstimate.y_x,stateEstimate.y_y,stateEstimate.z_x,stateEstimate.z_y,stateEstimate.roll_x,stateEstimate.roll_y,stateEstimate.pitch_x,stateEstimate.pitch_y,stateEstimate.yaw_x,stateEstimate.yaw_y
1017684.,0.074,1017684.,0.2245,1017684.,0.0118,1017684.,0.1018,1017684.,-0.0975,1017684.,-0.6339
1017724.,0.0732,1017724.,0.2251,1017724.,0.0112,1017724.,0.1414,1017724.,-0.0366,1017724.,-0.5958
1017764.,0.0750,1017764.,0.2264,1017764.,0.0116,1017764.,0.0573,1017764.,-0.0892,1017764.,-0.6236
1017804.,0.0729,1017804.,0.2278,1017804.,0.0111,1017804.,0.0631,1017804.,-0.0339,1017804.,-0.6106
1017844.,0.0729,1017844.,0.2270,1017844.,0.0111,1017844.,0.1130,1017844.,-0.0191,1017844.,-0.6082
1017884.,0.074,1017884.,0.2280,1017884.,0.0111,1017884.,0.0683,1017884.,-0.0473,1017884.,-0.6087
1017924.,0.0742,1017924.,0.2266,1017924.,0.0115,1017924.,0.1497,1017924.,-0.0173,1017924.,-0.5897
1017964.,0.0774,1017964.,0.2289,1017964.,0.0118,1017964.,0.0097,1017964.,-0.126,1017964.,-0.6160
1018004.,0.0731,1018004.,0.2296,1018004.,0.0122,1018004.,0.0069,1018004.,-0.0038,1018004.,-0.6325
1018044.,0.0751,1018044.,0.2288,1018044.,0.0126,1018044.,0.0178,1018044.,-0.0937,1018044.,-0.6527
1018084.,0.0741,1018084.,0.2292,1018084.,0.0122,1018084.,0.0148,1018084.,-0.0514,1018084.,-0.6683
1018124.,0.0751,1018124.,0.2275,1018124.,0.0128,1018124.,0.0406,1018124.,-0.0557,1018124.,-0.7017
1018164.,0.0757,1018164.,0.2289,1018164.,0.0119,1018164.,0.0306,1018164.,-0.0470,1018164.,-0.6918
1018204.,0.0749,1018204.,0.2292,1018204.,0.0112,1018204.,0.0377,1018204.,-0.0349,1018204.,-0.6966
1018244.,0.0758,1018244.,0.2288,1018244.,0.0108,1018244.,0.0913,1018244.,-0.0674,1018244.,-0.6892
1018284.,0.0762,1018284.,0.2289,1018284.,0.0108,1018284.,0.1269,1018284.,-0.0668,1018284.,-0.6618
1018324.,0.0783,1018324.,0.2278,1018324.,0.0109,1018324.,0.1345,1018324.,-0.1023,1018324.,-0.6935
1018364.,0.0792,1018364.,0.2278,1018364.,0.0111,1018364.,0.1425,1018364.,-0.0600,1018364.,-0.6944
1018404.,0.0792,1018404.,0.2283,1018404.,0.0115,1018404.,0.1398,1018404.,-0.0803,1018404.,-0.6815
1018444.,0.0772,1018444.,0.2273,1018444.,0.0119,1018444.,0.1519,1018444.,-0.0077,1018444.,-0.6978
1018484.,0.0771,1018484.,0.2263,1018484.,0.0122,1018484.,0.1858,1018484.,-0.0149,1018484.,-0.7005
1018524.,0.0768,1018524.,0.2276,1018524.,0.0138,1018524.,0.1125,1018524.,-0.0362,1018524.,-0.706
1018564.,0.0770,1018564.,0.2254,1018564.,0.0135,1018564.,0.1384,1018564.,-0.0084,1018564.,-0.7455
1018604.,0.0772,1018604.,0.2246,1018604.,0.0133,1018604.,0.1074,1018604.,-0.0083,1018604.,-0.7718
1018644.,0.077,1018644.,0.2254,1018644.,0.0117,1018644.,0.1001,1018644.,-0.0141,1018644.,-0.7459
1018684.,0.0762,1018684.,0.2223,1018684.,0.0110,1018684.,0.2057,1018684.,0.001,1018684.,-0.7539
1018724.,0.0754,1018724.,0.2229,1018724.,0.0106,1018724.,0.1298,1018724.,0.0157,1018724.,-0.7562
1018764.,0.0761,1018764.,0.2224,1018764.,0.0107,1018764.,0.1039,1018764.,0.0093,1018764.,-0.7718
1018804.,0.0770,1018804.,0.2213,1018804.,0.0108,1018804.,0.1511,1018804.,-0.0147,1018804.,-0.762
1018844.,0.0769,1018844.,0.2219,1018844.,0.0117,1018844.,0.1284,1018844.,-0.0215,1018844.,-0.7431
1018884.,0.0765,1018884.,0.2224,1018884.,0.0113,1018884.,0.1446,1018884.,0.0056,1018884.,-0.6983
1018924.,0.0765,1018924.,0.2225,1018924.,0.0121,1018924.,0.1105,1018924.,-0.0291,1018924.,-0.7049
1018964.,0.0759,1018964.,0.2212,1018964.,0.0114,1018964.,0.1135,1018964.,0.0151,1018964.,-0.7164
1019004.,0.0773,1019004.,0.2218,1019004.,0.0117,1019004.,0.0756,1019004.,-0.0115,1019004.,-0.7163
1019044.,0.0761,1019044.,0.2213,1019044.,0.012,1019044.,0.0705,1019044.,0.038,1019044.,-0.7515
1019084.,0.0768,1019084.,0.2218,1019084.,0.0108,1019084.,0.0628,1019084.,0.0036,1019084.,-0.7495
1019124.,0.0746,1019124.,0.2220,1019124.,0.0114,1019124.,0.0891,1019124.,0.0385,1019124.,-0.7576
1019164.,0.0746,1019164.,0.2216,1019164.,0.0118,1019164.,0.1179,1019164.,-0.0024,1019164.,-0.7625
1019204.,0.0758,1019204.,0.2237,1019204.,0.0117,1019204.,0.0346,1019204.,-0.0107,1019204.,-0.7388
1019244.,0.0747,1019244.,0.2243,1019244.,0.0115,1019244.,0.0415,1019244.,0.0204,1019244.,-0.7353
1019284.,0.0742,1019284.,0.2237,1019284.,0.0115,1019284.,0.041,1019284.,0.043,1019284.,-0.7628
1019324.,0.0751,1019324.,0.2238,1019324.,0.0118,1019324.,0.0361,1019324.,0.0226,1019324.,-0.7699
1019364.,0.0761,1019364.,0.2260,1019364.,0.0116,1019364.,-0.0494,1019364.,-0.0795,1019364.,-0.7703
1019404.,0.0745,1019404.,0.2255,1019404.,0.0112,1019404.,-0.0505,1019404.,0.0125,1019404.,-0.8025
1019444.,0.0749,1019444.,0.2264,1019444.,0.0113,1019444.,-0.0612,1019444.,0.0227,1019444.,-0.79
1019484.,0.0726,1019484.,0.2263,1019484.,0.0117,1019484.,-0.0002,1019484.,0.0926,1019484.,-0.795
1019524.,0.0728,1019524.,0.2268,1019524.,0.0119,1019524.,0.0120,1019524.,0.0624,1019524.,-0.7817
1019564.,0.0737,1019564.,0.2281,1019564.,0.0125,1019564.,-0.0111,1019564.,0.0238,1019564.,-0.7654
1019604.,0.073,1019604.,0.2275,1019604.,0.0129,1019604.,-0.0015,1019604.,0.0238,1019604.,-0.7873
1019644.,0.0731,1019644.,0.2257,1019644.,0.0111,1019644.,0.0469,1019644.,0.0414,1019644.,-0.8188
1019684.,0.0727,1019684.,0.2261,1019684.,0.0116,1019684.,0.0538,1019684.,0.0133,1019684.,-0.8123
1019724.,0.0726,1019724.,0.2269,1019724.,0.0114,1019724.,0.0552,1019724.,0.0215,1019724.,-0.8148
1019764.,0.0724,1019764.,0.2266,1019764.,0.0127,1019764.,0.0521,1019764.,-0.0152,1019764.,-0.8103
1019804.,0.0721,1019804.,0.2268,1019804.,0.0136,1019804.,0.0773,1019804.,-0.0217,1019804.,-0.8085
1019844.,0.0727,1019844.,0.2278,1019844.,0.0125,1019844.,0.0780,1019844.,0.0018,1019844.,-0.8049
1019884.,0.0715,1019884.,0.2294,1019884.,0.0121,1019884.,0.0518,1019884.,0.0481,1019884.,-0.8069
1019924.,0.0716,1019924.,0.2282,1019924.,0.0117,1019924.,0.1106,1019924.,0.0260,1019924.,-0.8154
1019964.,0.0757,1019964.,0.2291,1019964.,0.012,1019964.,0.0551,1019964.,-0.1186,1019964.,-0.8026
1020004.,0.0748,1020004.,0.2308,1020004.,0.0125,1020004.,0.0606,1020004.,-0.0846,1020004.,-0.8002
1020044.,0.0758,1020044.,0.2306,1020044.,0.0121,1020044.,0.0971,1020044.,-0.0863,1020044.,-0.7966
1020084.,0.0773,1020084.,0.2316,1020084.,0.0109,1020084.,0.0266,1020084.,-0.1041,1020084.,-0.7996
1020124.,0.0770,1020124.,0.226,1020124.,0.0109,1020124.,0.1716,1020124.,-0.0397,1020124.,-0.7951
